,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway
64,F1,23/09/15,Lyon,Bastia,2.0,14.166666666666664,4.833333333333333,2,5,1,14.0,1.0,0.0,1.1666666666666667,8.0,2.5,2,1,3,11.666666666666668,1.1666666666666663,2.1666666666666665,1.5000000000000002,-1,2,-1,-2
65,F1,23/09/15,Nice,Bordeaux,2.0,11.0,4.0,2,3,2,11.666666666666664,1.8333333333333333,0.16666666666666666,1.6666666666666667,14.833333333333336,3.833333333333333,1,4,1,14.833333333333336,2.5000000000000004,1.0,1.1666666666666667,-1,1,1,0
66,F1,23/09/15,Toulouse,Marseille,1.0,11.166666666666664,4.166666666666666,1,5,2,11.166666666666664,1.6666666666666663,0.5,1.1666666666666667,14.333333333333336,5.333333333333334,2,1,3,11.833333333333336,2.5,1.1666666666666667,1.8333333333333333,1,-2,2,-2
67,F1,23/09/15,Troyes,St Etienne,0.0,10.833333333333336,3.1666666666666665,0,5,3,11.499999999999998,2.1666666666666665,0.16666666666666666,0.6666666666666666,12.833333333333336,3.5,4,1,1,15.500000000000002,1.8333333333333333,0.0,1.4999999999999998,-1,-2,2,2
68,F1,24/09/15,Montpellier,Monaco,0.0,9.5,3.5,0,3,5,14.0,2.333333333333333,0.0,0.3333333333333333,11.833333333333332,4.666666666666667,2,2,2,13.833333333333336,2.333333333333333,0.0,1.0,-3,-2,-2,2
69,F1,25/09/15,Reims,Lille,2.0,9.142857142857142,4.285714285714287,3,5,1,12.857142857142858,2.4285714285714284,0.0,1.4285714285714284,12.166666666666664,3.666666666666667,1,4,1,16.833333333333336,3.0,1.0,0.3333333333333333,2,-1,1,0
70,F1,26/09/15,Bastia,Toulouse,2.0,7.428571428571428,2.4285714285714284,2,4,4,11.0,1.1428571428571426,0.5714285714285714,1.2857142857142856,11.142857142857142,4.0,1,4,2,11.285714285714285,1.714285714285714,2.4285714285714284,1.1428571428571428,-1,-3,1,-2
71,F1,26/09/15,Bordeaux,Lyon,2.0,13.571428571428573,3.714285714285714,1,5,2,13.857142857142856,2.2857142857142856,0.2857142857142857,1.1428571428571428,14.142857142857142,5.1428571428571415,3,3,1,13.285714285714285,1.1428571428571428,0.0,1.2857142857142856,1,-1,1,1
72,F1,26/09/15,Caen,Ajaccio GFCO,2.0,12.571428571428573,5.0,4,4,3,12.428571428571427,1.2857142857142856,0.2857142857142857,1.1428571428571428,11.142857142857142,3.0,0,2,5,12.714285714285712,2.7142857142857144,1.0,0.2857142857142857,1,-1,-2,-3
73,F1,26/09/15,Nantes,Paris SG,0.0,9.333333333333334,2.833333333333333,2,3,3,13.666666666666668,2.1666666666666665,0.5,0.3333333333333333,15.285714285714285,6.0,5,2,0,10.714285714285714,1.4285714285714284,1.0,1.857142857142857,-1,-2,2,3
74,F1,26/09/15,Rennes,Troyes,1.0,10.857142857142858,4.285714285714286,4,5,1,13.857142857142858,2.2857142857142856,0.0,1.5714285714285712,11.285714285714285,3.2857142857142856,0,3,4,11.285714285714285,2.2857142857142856,0.14285714285714285,0.5714285714285714,2,2,-2,-2
75,F1,27/09/15,Guingamp,Monaco,1.0,11.428571428571427,3.8571428571428568,3,4,4,13.428571428571427,2.0,0.0,0.7142857142857142,12.000000000000002,4.714285714285714,3,2,2,14.428571428571427,2.142857142857143,0.0,1.2857142857142856,1,-1,-2,3
76,F1,27/09/15,Marseille,Angers,0.0,13.428571428571427,4.714285714285714,2,4,3,12.142857142857142,2.1428571428571423,0.42857142857142855,1.714285714285714,10.142857142857142,3.4285714285714284,3,3,1,13.142857142857142,1.8571428571428568,0.14285714285714285,0.9999999999999998,2,-2,1,-1
77,F1,27/09/15,Montpellier,Lorient,2.0,10.428571428571429,3.7142857142857135,0,3,6,13.857142857142858,2.2857142857142856,0.0,0.5714285714285714,11.857142857142858,4.571428571428571,3,2,2,11.857142857142858,1.8571428571428568,0.14285714285714285,1.4285714285714284,-4,-2,2,1
78,F1,27/09/15,St Etienne,Nice,0.0,12.857142857142856,3.8571428571428568,5,5,1,15.285714285714285,1.5714285714285712,0.0,1.4285714285714284,11.857142857142858,4.857142857142857,3,2,2,12.0,1.5714285714285712,0.14285714285714285,2.2857142857142856,2,3,1,1
79,F1,29/09/15,Lille,Nantes,0.0,11.857142857142858,3.571428571428571,1,5,2,17.714285714285715,3.0,0.14285714285714285,0.2857142857142857,9.0,2.714285714285713,2,1,4,14.571428571428573,2.142857142857143,1.2857142857142856,0.42857142857142855,1,-1,-2,-2
80,F1,02/10/15,Lille,Montpellier,2.0,12.875,3.625,1,5,3,16.5,2.625,0.125,0.25,10.5,3.75,1,1,6,13.5,2.25,0.0,0.75,-1,-1,1,0
