,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
51,F1,20/09/16,Paris SG,Dijon,2,16,5.4,3,4,1,11.4,1.8,0,2.4,8.8,3.4,1,1,3,11.2,2,1,1,45159,19831,64990
52,F1,21/09/16,Angers,Caen,2,14.8,5.4,2,3,3,12.8,2,0.2,0.8,12,3.2,2,0,3,11.6,1.6,0,1,11954,19992,31946
53,F1,21/09/16,Bastia,Nancy,1,9,3,2,3,3,14.4,4,0,1,10.8,2,1,1,3,13,2.6,0,0.6,10511,18961,29472
54,F1,21/09/16,Guingamp,Lorient,2,10.8,4.4,2,4,1,11.8,1.8,0.2,1.6,9.2,3.2,1,0,4,11.6,1.4,1.4,0.6,14790,19914,34704
55,F1,21/09/16,Lyon,Montpellier,2,16,5.6,2,3,2,13.2,2.2,0.2,1.6,11.6,3.6,1,3,1,13.2,1,0,1,38203,18795,56998
56,F1,21/09/16,Metz,Bordeaux,0,8.4,3.6,3,3,1,13,2.4,0.2,1.6,9.6,5,3,0,2,11,1.4,1.2,1.6,16196,22352,38548
57,F1,21/09/16,Nantes,St Etienne,1,12.2,3.8,1,3,3,13.6,1.2,0,0.4,12.4,3.6,2,2,1,14,2.2,0,1.4,23152,23040,46192
58,F1,21/09/16,Nice,Monaco,2,12.2,5.2,3,3,0,11.4,1.4,0,1.4,12.2,4.4,4,1,0,13.4,2,0,2.6,22949,24370,47319
59,F1,21/09/16,Rennes,Marseille,2,10,3.2,2,3,2,11.6,2,0,1,11.6,4,1,2,2,15,2.2,0,1,22689,25215,47904
60,F1,23/09/16,Toulouse,Paris SG,2,9,3.166666667,3,4,1,17.83333333,2.666666667,0,1.5,14.66666667,5.166666667,4,1,1,10.83333333,1.666666667,0,2.5,17068,26366,43434
61,F1,24/09/16,Bastia,Guingamp,2,9.166666667,3.333333333,2,4,3,14,3.333333333,0,0.833333333,10.33333333,4.333333333,3,2,1,11.5,1.666666667,1,1.5,10511,19416,29927
62,F1,24/09/16,Bordeaux,Caen,1,11.33333333,5.333333333,4,3,2,9.833333333,1.166666667,0.333333333,1.833333333,11,2.833333333,2,0,4,11.5,1.5,0,1,24217,19992,44209
63,F1,24/09/16,Dijon,Rennes,2,8.666666667,3.5,1,4,4,10.5,1.666666667,0.166666667,0.833333333,10.5,3.5,3,1,2,11.5,1.833333333,0,1.333333333,10128,19531,29659
64,F1,24/09/16,Lorient,Lyon,2,9.833333333,3.166666667,1,3,5,12,1.5,0.5,0.5,16,6,3,1,2,12.66666667,1.833333333,0.166666667,2.166666667,11832,22257,34089
65,F1,24/09/16,Monaco,Angers,2,13,4.833333333,4,4,1,13.83333333,1.833333333,0.166666667,2.166666667,14.5,5.333333333,3,0,3,12.66666667,1.666666667,0.166666667,1,9420,20294,29714
66,F1,24/09/16,Montpellier,Metz,0,11,3.333333333,1,5,2,13.5,1,0.166666667,1,9,3.666666667,3,1,2,13.5,2.333333333,1,1.333333333,12356,19465,31821
67,F1,25/09/16,Marseille,Nantes,2,11,4,1,5,3,16.5,2,0.166666667,1.166666667,13,4.166666667,1,2,3,14,1.666666667,0,0.333333333,39898,19547,59445
68,F1,25/09/16,Nancy,Nice,0,9.666666667,2,1,4,3,14,2.166666667,0,0.5,11.66666667,5.5,4,2,0,11.5,1.333333333,0,1.833333333,17516,22293,39809
69,F1,25/09/16,St Etienne,Lille,2,11.33333333,3,2,4,1,14,1.833333333,0.166666667,1.166666667,11,3,1,1,4,12.66666667,2,0,1,27227,18478,45705
70,F1,30/09/16,Rennes,Guingamp,2,11.71428571,3.571428571,3,4,3,11.57142857,1.714285714,0,1.142857143,9.285714286,4.142857143,3,2,2,12.28571429,1.571428571,2,1.285714286,22689,19416,42105
71,F1,1/10/2016,Caen,Toulouse,2,11.28571429,3,2,4,4,12.14285714,1.571428571,0,0.857142857,9.285714286,3.142857143,4,2,1,17,2.714285714,0,1.571428571,15786,19819,35605
72,F1,1/10/2016,Dijon,Montpellier,1,9.571428571,3.714285714,2,4,4,10,1.571428571,0.142857143,1.142857143,11.71428571,3.142857143,1,3,3,13.57142857,1.142857143,1,0.857142857,10128,18795,28923
73,F1,1/10/2016,Lille,Nancy,2,11.14285714,3,1,4,5,13,1.857142857,0.142857143,1,10.42857143,1.714285714,1,2,4,14.42857143,2.285714286,0,0.428571429,29487,18961,48448
74,F1,1/10/2016,Metz,Monaco,0,8.285714286,3.571428571,4,4,2,14.42857143,2.428571429,0.142857143,1.285714286,13,4.714285714,5,1,1,13.28571429,1.714285714,1,2.142857143,16196,24370,40566
75,F1,1/10/2016,Nantes,Bastia,2,13,4.142857143,1,5,4,14.42857143,1.857142857,0,0.428571429,9.428571429,3.714285714,3,1,3,14.42857143,3,0.142857143,0.857142857,23152,20847,43999
76,F1,1/10/2016,Paris SG,Bordeaux,2,14.28571429,4.857142857,4,5,2,10.85714286,1.571428571,0.142857143,2.142857143,11.42857143,4.857142857,4,1,2,9.428571429,1,1.142857143,1.571428571,45159,22352,67511
77,F1,2/10/2016,Angers,Marseille,1,14,5.142857143,3,4,4,12.14285714,1.571428571,0.142857143,1,11.42857143,4.142857143,2,2,3,16,1.857142857,1,1.285714286,11954,25215,37169
78,F1,2/10/2016,Lyon,St Etienne,2,16.28571429,6.285714286,3,4,3,12,1.714285714,0.142857143,1.857142857,11,3,3,3,1,14.42857143,2,1,1.428571429,38203,23040,61243
79,F1,2/10/2016,Nice,Lorient,2,11.85714286,5.285714286,5,4,0,12.14285714,1.285714286,0,1.714285714,10,3,2,0,5,12.14285714,1.571428571,1.285714286,0.571428571,22949,19914,42863
