,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB
28,F1,16/09/2020,20:00,Paris SG,Metz,2.0,11.0,2.5,0,1,2,13.5,4.0,1.5,0.0,9.5,2.5,0,0,2,14.0,2.0,0.0,0.0,86,82,81,71,72,71,600.0,50.0
29,F1,17/09/2020,20:00,Marseille,St Etienne,0.0,6.0,3.0,2,2,0,16.0,6.0,1.0,2.0,11.5,4.5,2,0,0,13.5,1.5,0.0,2.0,78,78,77,76,72,73,140.0,95.0
30,F1,18/09/2020,20:00,Lyon,Nimes,1.0,22.0,7.333333333333334,1,2,1,14.666666666666664,2.6666666666666665,0.3333333333333333,1.6666666666666663,15.333333333333336,7.666666666666668,1,0,2,13.333333333333336,2.0,0.0,2.333333333333333,78,77,77,71,72,72,285.0,40.0
31,F1,19/09/2020,16:00,Lens,Bordeaux,2.0,12.0,4.333333333333333,2,2,1,18.33333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666663,5.666666666666668,2.666666666666667,1,2,0,13.666666666666664,2.333333333333333,0.3333333333333333,0.6666666666666666,71,73,70,73,75,75,46.0,50.0
32,F1,19/09/2020,20:00,Rennes,Monaco,2.0,14.0,5.333333333333334,2,2,0,15.666666666666664,3.333333333333333,0.6666666666666666,2.333333333333333,14.333333333333332,4.0,2,1,0,14.0,3.0,1.0,1.6666666666666663,75,77,76,80,76,75,105.0,215.0
33,F1,20/09/2020,12:00,Nice,Paris SG,0.0,5.333333333333333,1.6666666666666663,2,2,1,14.666666666666668,3.333333333333333,0.0,1.6666666666666663,14.0,4.333333333333333,1,0,2,11.666666666666664,3.6666666666666665,1.3333333333333333,0.3333333333333333,76,74,74,86,82,81,80.0,600.0
34,F1,20/09/2020,14:00,Brest,Lorient,2.0,16.0,4.0,1,2,2,16.666666666666668,1.6666666666666663,0.3333333333333333,1.3333333333333333,7.333333333333334,3.666666666666667,1,0,2,20.0,2.6666666666666665,0.0,1.6666666666666663,71,71,72,70,70,71,35.0,45.0
35,F1,20/09/2020,14:00,Metz,Reims,2.0,8.666666666666668,2.0,0,2,3,11.333333333333336,2.0,0.0,0.0,6.666666666666666,1.6666666666666663,0,1,2,15.333333333333336,3.0,1.0,0.6666666666666666,71,72,71,71,72,74,50.0,70.0
36,F1,20/09/2020,14:00,Montpellier,Angers,2.0,13.666666666666668,6.333333333333332,2,1,1,15.333333333333332,1.6666666666666663,0.6666666666666666,2.0,14.666666666666668,4.333333333333334,2,0,1,10.666666666666666,1.6666666666666663,0.3333333333333333,0.6666666666666666,77,75,74,74,74,73,54.5,45.0
37,F1,20/09/2020,14:00,Strasbourg,Dijon,2.0,9.0,2.666666666666667,0,2,3,14.333333333333332,2.333333333333333,0.0,0.3333333333333333,7.333333333333334,2.0,0,0,3,12.666666666666668,1.6666666666666663,0.3333333333333333,0.3333333333333333,74,74,74,72,71,70,50.0,50.0
38,F1,20/09/2020,16:00,Nantes,St Etienne,1.0,7.0,2.6666666666666665,1,2,1,13.999999999999998,2.333333333333333,0.6666666666666666,1.0,11.666666666666664,4.666666666666667,3,0,0,14.0,1.6666666666666663,0.0,2.0,70,74,75,76,72,73,75.0,95.0
39,F1,20/09/2020,20:00,Marseille,Lille,1.0,8.333333333333332,2.6666666666666665,2,2,1,15.0,4.666666666666667,0.6666666666666666,1.3333333333333333,10.333333333333332,3.333333333333333,2,1,0,11.666666666666664,1.6666666666666663,0.3333333333333333,1.0,78,78,77,77,77,75,140.0,147.0
40,F1,25/09/2020,20:00,Lille,Nantes,2.0,11.25,4.25,2,3,0,13.25,2.0,0.25,1.0,9.0,2.75,1,2,1,13.5,2.25,0.5,1.25,77,77,75,70,74,75,147.0,75.0
