,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
98,F1,02/11/12,Brest,Lorient,2,0,2.0,1,0,2.0,7,15,4,4,17,14,2,4,2,1,0,0
99,F1,03/11/12,Evian Thonon Gaillard,Lille,0,2,0.0,0,1,0.0,15,12,3,6,13,15,7,6,2,1,0,0
100,F1,03/11/12,Nice,Nancy,2,1,2.0,1,1,1.0,13,10,5,4,14,13,13,4,2,1,0,0
101,F1,03/11/12,Paris SG,St Etienne,1,2,0.0,0,0,1.0,11,13,3,3,9,9,5,3,4,1,1,0
102,F1,03/11/12,Rennes,Reims,1,0,2.0,1,0,2.0,22,5,6,2,15,9,3,4,1,1,0,1
103,F1,03/11/12,Troyes,Montpellier,1,1,1.0,1,1,1.0,7,17,5,5,16,19,4,7,1,2,0,0
104,F1,03/11/12,Valenciennes,Sochaux,3,1,2.0,2,0,2.0,22,8,12,2,11,14,8,4,0,2,0,0
105,F1,04/11/12,Ajaccio,Marseille,0,2,0.0,0,0,1.0,8,11,5,6,14,20,4,4,2,2,0,0
106,F1,04/11/12,Bordeaux,Toulouse,1,0,2.0,0,0,1.0,21,4,10,0,16,20,5,1,2,4,0,0
107,F1,04/11/12,Lyon,Bastia,5,2,2.0,2,2,1.0,18,13,9,5,16,16,9,4,1,3,1,1
108,F1,07/11/12,Sochaux,Evian Thonon Gaillard,2,1,2.0,2,0,2.0,4,11,2,3,17,24,4,5,1,3,0,0
109,F1,09/11/12,Nancy,Rennes,1,3,0.0,0,1,0.0,14,10,6,3,17,6,8,4,1,1,0,0
110,F1,10/11/12,Bastia,Valenciennes,2,3,0.0,1,1,1.0,12,11,4,6,17,22,6,6,2,3,0,0
111,F1,10/11/12,Lille,Brest,1,0,2.0,1,0,2.0,16,7,4,3,9,20,8,6,2,3,0,0
112,F1,10/11/12,Reims,Evian Thonon Gaillard,1,2,0.0,0,1,0.0,12,16,3,6,11,13,4,4,1,2,0,0
113,F1,10/11/12,St Etienne,Troyes,2,0,2.0,0,0,1.0,16,12,5,2,13,8,7,4,1,2,0,0
114,F1,10/11/12,Toulouse,Ajaccio,2,4,0.0,1,2,0.0,21,14,7,8,14,12,10,1,3,2,0,0
115,F1,11/11/12,Lorient,Bordeaux,0,4,0.0,0,2,0.0,8,10,2,6,12,10,5,6,1,0,0,0
116,F1,11/11/12,Marseille,Nice,2,2,1.0,1,0,2.0,19,8,8,4,12,11,2,4,0,1,0,0
117,F1,11/11/12,Montpellier,Paris SG,1,1,1.0,0,1,0.0,20,7,3,4,24,12,4,5,2,3,1,1
118,F1,11/11/12,Sochaux,Lyon,1,1,1.0,0,1,0.0,12,9,5,5,13,15,3,3,0,2,0,0
119,F1,16/11/12,Lorient,Lille,2,0,2.0,1,0,2.0,14,14,5,5,14,8,4,10,2,3,0,0
120,F1,17/11/12,Ajaccio,Sochaux,0,1,0.0,0,1,0.0,18,8,4,5,9,15,3,3,2,0,0,0
121,F1,17/11/12,Brest,Bastia,3,0,2.0,1,0,2.0,15,5,7,1,16,8,8,2,3,2,0,1
122,F1,17/11/12,Evian Thonon Gaillard,St Etienne,2,2,1.0,0,2,0.0,13,7,5,4,15,10,2,5,1,1,0,0
123,F1,17/11/12,Paris SG,Rennes,1,2,0.0,1,2,0.0,23,8,10,4,20,8,18,3,3,1,0,2
124,F1,17/11/12,Troyes,Nancy,3,3,1.0,1,3,0.0,18,19,10,9,13,18,7,6,2,1,0,0
125,F1,17/11/12,Valenciennes,Montpellier,1,1,1.0,1,1,1.0,17,13,5,5,16,14,12,5,2,3,0,1
126,F1,18/11/12,Bordeaux,Marseille,1,0,2.0,0,0,1.0,10,5,6,3,14,16,4,4,0,2,0,1
127,F1,18/11/12,Lyon,Reims,3,0,2.0,1,0,2.0,18,2,8,1,14,12,4,1,0,2,0,0
128,F1,18/11/12,Nice,Toulouse,1,0,2.0,0,0,1.0,11,10,4,2,22,18,7,2,4,1,0,0
129,F1,23/11/12,St Etienne,Valenciennes,1,0,2.0,0,0,1.0,20,12,4,1,19,9,6,3,2,1,0,0
130,F1,24/11/12,Bastia,Lorient,2,1,2.0,2,1,2.0,12,10,6,4,11,17,3,6,4,3,1,0
131,F1,24/11/12,Nancy,Ajaccio,1,1,1.0,1,0,2.0,11,18,4,5,15,12,3,4,4,1,0,0
132,F1,24/11/12,Paris SG,Troyes,4,0,2.0,1,0,2.0,8,17,6,4,10,11,5,5,2,0,0,0
133,F1,24/11/12,Reims,Brest,0,0,1.0,0,0,1.0,11,14,3,7,8,19,4,4,0,2,0,0
134,F1,24/11/12,Rennes,Evian Thonon Gaillard,0,1,0.0,0,0,1.0,15,6,6,1,7,13,11,1,0,1,0,0
135,F1,24/11/12,Sochaux,Nice,0,1,0.0,0,1,0.0,6,17,1,4,16,17,4,4,1,2,0,0
136,F1,25/11/12,Marseille,Lille,1,0,2.0,0,0,1.0,12,9,6,3,11,13,1,4,4,3,0,1
137,F1,25/11/12,Montpellier,Bordeaux,1,0,2.0,0,0,1.0,12,8,3,2,16,18,6,3,1,3,0,0
138,F1,25/11/12,Toulouse,Lyon,3,0,2.0,0,0,1.0,17,8,6,2,20,21,8,0,1,3,0,0
139,F1,28/11/12,Marseille,Lyon,1,4,0.0,0,2,0.0,7,6,3,6,14,16,8,2,1,2,1,0
140,F1,30/11/12,Ajaccio,St Etienne,0,0,1.0,0,0,1.0,12,7,2,2,7,9,3,1,0,0,0,0
141,F1,01/12/12,Bordeaux,Sochaux,2,2,1.0,1,1,1.0,10,6,2,2,17,5,8,2,2,1,0,0
142,F1,01/12/12,Evian Thonon Gaillard,Nancy,1,1,1.0,1,0,2.0,10,16,4,5,11,17,5,5,2,3,0,0
143,F1,01/12/12,Lille,Bastia,0,0,1.0,0,0,1.0,15,1,1,0,16,13,6,2,2,3,0,0
144,F1,01/12/12,Lyon,Montpellier,1,0,2.0,1,0,2.0,9,8,4,2,23,27,6,0,1,3,0,0
145,F1,01/12/12,Nice,Paris SG,2,1,2.0,0,0,1.0,15,16,5,5,12,18,5,10,1,2,0,1
146,F1,01/12/12,Valenciennes,Reims,1,0,2.0,1,0,2.0,14,17,2,3,10,13,4,4,0,2,0,0
147,F1,02/12/12,Brest,Marseille,1,2,0.0,1,1,1.0,4,19,4,7,18,11,6,9,3,3,0,0
148,F1,02/12/12,Lorient,Toulouse,1,0,2.0,1,0,2.0,16,9,6,0,17,16,12,5,2,2,0,0
149,F1,02/12/12,Troyes,Rennes,2,3,0.0,2,0,2.0,7,9,4,5,10,10,7,4,1,3,1,0
150,F1,07/12/12,Toulouse,Bastia,0,0,1.0,0,0,1.0,11,9,0,5,13,13,5,2,3,2,0,0
151,F1,08/12/12,Montpellier,Ajaccio,3,0,2.0,2,0,2.0,15,8,6,3,16,14,2,3,1,2,0,0
152,F1,08/12/12,Nancy,Valenciennes,1,1,1.0,1,0,2.0,17,8,2,1,11,12,6,6,1,4,0,0
153,F1,08/12/12,Paris SG,Evian Thonon Gaillard,4,0,2.0,2,0,2.0,15,8,7,2,12,11,3,7,1,3,0,0
154,F1,08/12/12,Rennes,Brest,2,2,1.0,0,0,1.0,20,11,11,5,6,9,8,4,1,1,0,1
155,F1,08/12/12,Sochaux,Lille,1,1,1.0,0,0,1.0,6,22,2,5,10,12,3,5,1,3,1,0
156,F1,08/12/12,Troyes,Nice,1,1,1.0,1,0,2.0,5,9,2,3,13,11,3,5,1,1,0,0
157,F1,09/12/12,Marseille,Lorient,0,3,0.0,0,1,0.0,10,10,4,5,11,14,10,1,0,1,1,0
158,F1,09/12/12,Reims,Bordeaux,0,0,1.0,0,0,1.0,10,10,1,2,12,10,2,3,4,3,0,0
159,F1,09/12/12,St Etienne,Lyon,0,1,0.0,0,0,1.0,8,7,1,2,15,20,4,5,2,1,1,1
160,F1,11/12/12,Lille,Toulouse,2,0,2.0,0,0,1.0,9,7,6,2,15,20,4,2,2,2,0,0
161,F1,11/12/12,Nice,Rennes,1,0,2.0,0,0,1.0,11,5,3,3,13,18,5,5,0,1,0,2
162,F1,11/12/12,Valenciennes,Paris SG,0,4,0.0,0,1,0.0,10,20,1,9,12,6,7,2,1,1,0,0
163,F1,12/12/12,Ajaccio,Reims,2,0,2.0,1,0,2.0,11,17,3,4,18,8,6,10,3,0,0,0
164,F1,12/12/12,Bastia,Marseille,1,2,0.0,0,1,0.0,11,16,3,6,13,25,0,9,3,2,0,0
165,F1,12/12/12,Brest,Montpellier,1,2,0.0,1,1,1.0,7,19,3,7,16,16,2,9,1,1,0,0
166,F1,12/12/12,Evian Thonon Gaillard,Troyes,2,0,2.0,1,0,2.0,22,5,8,1,10,15,7,5,0,1,0,0
167,F1,12/12/12,Lorient,Sochaux,2,0,2.0,1,0,2.0,17,12,9,3,12,11,6,8,1,0,0,0
168,F1,12/12/12,Lyon,Nancy,1,1,1.0,0,0,1.0,16,13,3,8,16,15,5,4,2,4,0,0
169,F1,13/12/12,Bordeaux,St Etienne,0,0,1.0,0,0,1.0,9,9,2,3,16,9,2,5,2,2,0,0
170,F1,14/12/12,Rennes,Valenciennes,2,0,2.0,1,0,2.0,17,11,6,4,18,17,3,7,1,1,0,0
171,F1,15/12/12,Montpellier,Bastia,4,0,2.0,1,0,2.0,21,3,12,1,16,11,7,4,1,3,0,0
