,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
63,F1,25/09/2019,18:00,Brest,Lyon,2,2,1.0,1,1,1.0,13,11,5,5,9,10,2,6,0,0,0,0
64,F1,25/09/2019,18:00,Lille,Strasbourg,2,0,2.0,1,0,2.0,12,5,5,1,7,12,4,2,0,1,0,0
65,F1,25/09/2019,18:00,Montpellier,Nimes,1,0,2.0,1,0,2.0,12,15,4,3,14,19,4,8,3,4,0,0
66,F1,25/09/2019,18:00,Nantes,Rennes,1,0,2.0,0,0,1.0,8,6,2,2,16,17,2,4,2,4,0,0
67,F1,25/09/2019,18:00,St Etienne,Metz,0,1,0.0,0,1,0.0,15,12,3,1,12,12,8,5,4,2,0,0
68,F1,25/09/2019,18:00,Toulouse,Angers,0,2,0.0,0,0,1.0,6,22,1,6,15,12,5,11,1,0,0,0
69,F1,25/09/2019,20:00,Paris SG,Reims,0,2,0.0,0,1,0.0,12,13,3,2,10,11,6,6,1,2,0,0
70,F1,28/09/2019,12:30,Lyon,Nantes,0,1,0.0,0,0,1.0,14,11,7,2,10,10,7,8,2,2,0,0
71,F1,28/09/2019,16:30,Bordeaux,Paris SG,0,1,0.0,0,0,1.0,4,21,1,7,10,13,0,9,0,3,0,0
72,F1,28/09/2019,19:00,Angers,Amiens,1,1,1.0,0,1,0.0,23,8,6,4,10,13,10,2,1,0,0,0
73,F1,28/09/2019,19:00,Metz,Toulouse,2,2,1.0,1,0,2.0,13,15,3,6,10,17,3,6,1,1,0,0
74,F1,28/09/2019,19:00,Monaco,Brest,4,1,2.0,1,0,2.0,21,5,13,1,7,15,7,1,1,2,0,0
75,F1,28/09/2019,19:00,Nice,Lille,1,1,1.0,1,1,1.0,12,11,5,6,8,14,6,5,2,2,0,0
76,F1,28/09/2019,19:00,Reims,Dijon,1,2,0.0,1,1,1.0,18,11,2,4,8,21,5,4,1,2,0,0
77,F1,29/09/2019,14:00,Strasbourg,Montpellier,1,0,2.0,1,0,2.0,8,11,3,3,18,13,1,6,4,2,0,0
78,F1,29/09/2019,16:00,Nimes,St Etienne,0,1,0.0,0,0,1.0,22,6,8,4,12,15,13,5,1,4,0,1
79,F1,29/09/2019,20:00,Marseille,Rennes,1,1,1.0,0,1,0.0,17,12,5,2,18,13,7,4,4,0,0,0
80,F1,04/10/2019,19:45,Amiens,Marseille,3,1,2.0,2,1,2.0,11,13,5,4,16,15,3,7,1,3,0,0
81,F1,05/10/2019,16:30,Paris SG,Angers,4,0,2.0,2,0,2.0,15,10,8,2,12,11,6,1,3,1,0,0
82,F1,05/10/2019,19:00,Brest,Metz,2,0,2.0,2,0,2.0,7,12,3,4,12,15,2,9,2,1,0,0
83,F1,05/10/2019,19:00,Dijon,Strasbourg,1,0,2.0,1,0,2.0,8,15,3,2,7,14,6,7,3,3,0,0
84,F1,05/10/2019,19:00,Montpellier,Monaco,3,1,2.0,2,0,2.0,17,14,10,4,18,11,6,8,1,2,0,1
85,F1,05/10/2019,19:00,Nantes,Nice,1,0,2.0,0,0,1.0,14,6,5,2,14,7,6,1,1,2,0,0
86,F1,05/10/2019,19:00,Toulouse,Bordeaux,1,3,0.0,0,2,0.0,15,10,4,4,16,16,5,4,4,2,0,0
87,F1,06/10/2019,14:00,Lille,Nimes,2,2,1.0,1,1,1.0,18,14,7,4,19,10,8,6,3,1,0,0
88,F1,06/10/2019,16:00,Rennes,Reims,0,1,0.0,0,0,1.0,18,13,3,7,13,19,5,3,1,3,0,0
89,F1,06/10/2019,20:00,St Etienne,Lyon,1,0,2.0,0,0,1.0,6,6,4,2,13,18,5,1,1,2,0,0
90,F1,18/10/2019,19:45,Nice,Paris SG,1,4,0.0,0,2,0.0,10,24,2,10,12,15,1,13,3,2,2,0
91,F1,19/10/2019,16:30,Lyon,Dijon,0,0,1.0,0,0,1.0,24,6,10,1,12,11,8,1,0,0,0,0
92,F1,19/10/2019,19:00,Angers,Brest,0,1,0.0,0,0,1.0,29,6,6,1,10,11,13,3,1,0,0,0
93,F1,19/10/2019,19:00,Metz,Nantes,1,0,2.0,0,0,1.0,10,9,2,2,16,13,3,3,2,1,0,1
94,F1,19/10/2019,19:00,Nimes,Amiens,1,1,1.0,1,0,2.0,11,13,3,5,11,15,1,11,2,4,0,0
95,F1,19/10/2019,19:00,Reims,Montpellier,1,0,2.0,1,0,2.0,12,9,5,0,19,11,4,8,2,0,0,0
96,F1,19/10/2019,19:00,Toulouse,Lille,2,1,2.0,0,0,1.0,17,9,6,2,15,11,3,4,2,4,0,0
97,F1,20/10/2019,14:00,Bordeaux,St Etienne,0,1,0.0,0,0,1.0,12,6,6,3,7,18,8,5,0,3,0,0
98,F1,20/10/2019,16:00,Monaco,Rennes,3,2,2.0,1,1,1.0,14,10,5,3,15,15,3,3,2,3,0,0
99,F1,20/10/2019,20:00,Marseille,Strasbourg,2,0,2.0,1,0,2.0,11,10,6,2,13,15,5,7,3,2,0,0
100,F1,25/10/2019,19:45,Nantes,Monaco,0,1,0.0,0,1,0.0,15,7,4,2,9,13,5,3,2,2,0,0
101,F1,26/10/2019,16:30,Lille,Bordeaux,3,0,2.0,1,0,2.0,11,5,3,1,17,18,3,3,0,2,0,0
102,F1,26/10/2019,19:00,Brest,Dijon,2,0,2.0,0,0,1.0,15,14,7,5,10,8,9,5,0,0,1,0
103,F1,26/10/2019,19:00,Lyon,Metz,2,0,2.0,2,0,2.0,18,16,7,3,12,9,7,2,1,2,0,0
104,F1,26/10/2019,19:00,Montpellier,Angers,0,0,1.0,0,0,1.0,14,13,3,6,14,12,5,2,2,3,0,0
105,F1,26/10/2019,19:00,Reims,Nimes,0,0,1.0,0,0,1.0,10,7,3,1,15,13,4,6,3,1,0,0
106,F1,26/10/2019,19:00,Strasbourg,Nice,1,0,2.0,1,0,2.0,20,9,6,5,22,12,4,7,1,3,0,1
107,F1,27/10/2019,14:00,Rennes,Toulouse,3,2,2.0,2,1,2.0,14,15,6,5,18,20,7,5,1,2,0,0
108,F1,27/10/2019,16:00,St Etienne,Amiens,2,2,1.0,1,0,2.0,15,11,1,5,17,17,5,4,2,3,0,0
109,F1,27/10/2019,20:00,Paris SG,Marseille,4,0,2.0,4,0,2.0,11,5,7,1,10,6,5,3,2,1,0,0
110,F1,01/11/2019,19:45,Dijon,Paris SG,2,1,2.0,1,1,1.0,10,20,6,4,12,9,3,6,3,2,0,0
111,F1,02/11/2019,16:30,Marseille,Lille,2,1,2.0,0,0,1.0,11,6,1,2,13,15,4,4,1,3,0,0
112,F1,02/11/2019,19:00,Amiens,Brest,1,0,2.0,1,0,2.0,6,14,2,3,12,11,3,9,3,1,0,0
113,F1,02/11/2019,19:00,Angers,Strasbourg,1,0,2.0,1,0,2.0,9,8,5,3,13,20,4,8,1,1,0,0
114,F1,02/11/2019,19:00,Metz,Montpellier,2,2,1.0,1,0,2.0,11,12,4,4,12,19,5,3,1,2,0,0
115,F1,02/11/2019,19:00,Toulouse,Lyon,2,3,0.0,1,1,1.0,12,21,5,8,10,4,5,5,3,0,0,0
116,F1,03/11/2019,14:00,Bordeaux,Nantes,2,0,2.0,1,0,2.0,10,9,7,2,18,17,6,9,4,3,0,0
117,F1,03/11/2019,16:00,Nice,Reims,2,0,2.0,2,0,2.0,12,11,6,3,11,17,5,4,1,3,0,1
118,F1,03/11/2019,20:00,St Etienne,Monaco,1,0,2.0,0,0,1.0,12,11,5,2,13,10,2,1,1,1,0,1
119,F1,08/11/2019,19:45,Nice,Bordeaux,1,1,1.0,1,0,2.0,10,10,5,4,13,16,3,4,2,2,0,0
120,F1,09/11/2019,16:30,Brest,Paris SG,1,2,0.0,0,1,0.0,17,18,4,8,10,13,5,4,1,2,0,0
121,F1,09/11/2019,19:00,Lille,Metz,0,0,1.0,0,0,1.0,13,4,5,1,16,13,9,1,2,2,0,0
122,F1,09/11/2019,19:00,Monaco,Dijon,1,0,2.0,1,0,2.0,18,15,7,3,11,8,6,9,2,0,0,0
123,F1,09/11/2019,19:00,Reims,Angers,0,0,1.0,0,0,1.0,9,13,2,2,14,11,2,12,1,3,0,1
124,F1,09/11/2019,19:00,Strasbourg,Nimes,4,1,2.0,2,0,2.0,20,10,10,4,13,9,2,2,2,2,0,1
125,F1,10/11/2019,14:00,Rennes,Amiens,3,1,2.0,1,1,1.0,22,13,11,6,12,17,5,3,3,4,0,0
126,F1,10/11/2019,16:00,Montpellier,Toulouse,3,0,2.0,1,0,2.0,8,6,3,2,19,17,1,3,2,2,0,0
127,F1,10/11/2019,16:00,Nantes,St Etienne,2,3,0.0,2,2,1.0,9,11,6,4,6,9,3,3,1,0,0,0
128,F1,10/11/2019,20:00,Marseille,Lyon,2,1,2.0,2,0,2.0,10,11,4,4,14,9,6,7,3,0,1,0
129,F1,22/11/2019,19:45,Paris SG,Lille,2,0,2.0,2,0,2.0,11,13,4,8,13,11,6,5,2,0,0,0
130,F1,23/11/2019,16:30,Lyon,Nice,2,1,2.0,2,0,2.0,9,17,4,7,13,13,3,6,2,4,1,1
131,F1,23/11/2019,19:00,Amiens,Strasbourg,0,4,0.0,0,1,0.0,5,17,0,9,7,8,3,7,2,1,1,0
132,F1,23/11/2019,19:00,Angers,Nimes,1,0,2.0,0,0,1.0,21,10,7,2,12,6,3,2,2,1,0,0
133,F1,23/11/2019,19:00,Brest,Nantes,1,1,1.0,0,1,0.0,13,11,4,4,8,11,6,5,2,1,0,0
134,F1,23/11/2019,19:00,Dijon,Rennes,2,1,2.0,0,0,1.0,16,11,6,4,18,15,4,4,1,2,0,0
135,F1,23/11/2019,19:00,Metz,Reims,1,1,1.0,0,1,0.0,9,18,2,6,14,13,6,5,2,2,0,1
136,F1,24/11/2019,14:00,Bordeaux,Monaco,2,1,2.0,1,1,1.0,17,11,6,3,16,20,5,12,3,5,0,1
137,F1,24/11/2019,16:00,St Etienne,Montpellier,0,0,1.0,0,0,1.0,9,8,2,2,18,19,1,5,3,3,0,0
138,F1,24/11/2019,20:00,Toulouse,Marseille,0,2,0.0,0,0,1.0,10,14,3,7,16,13,1,7,3,3,1,0
139,F1,29/11/2019,19:45,Marseille,Brest,2,1,2.0,0,0,1.0,34,4,10,1,11,14,8,0,0,2,0,0
140,F1,30/11/2019,16:30,Strasbourg,Lyon,1,2,0.0,1,1,1.0,9,8,2,4,12,11,3,1,3,1,0,0
141,F1,30/11/2019,19:00,Lille,Dijon,1,0,2.0,1,0,2.0,19,8,5,0,16,16,11,3,2,1,0,0
142,F1,30/11/2019,19:00,Montpellier,Amiens,4,2,2.0,1,1,1.0,20,6,10,2,13,15,4,2,1,2,0,1
143,F1,30/11/2019,19:00,Nice,Angers,3,1,2.0,1,1,1.0,10,10,7,4,10,13,0,7,2,1,0,0
