,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,Home attendance,Away attendance,Total avg
57,F1,17/09/17,Angers,Metz,0,11.6,4.6,1,5,0,14,2.2,0.2,1.4,7.6,2.6,0,0,5,12.4,1.4,0.2,0.4,11065,22504,33569
58,F1,17/09/17,Paris SG,Lyon,2,19.6,8.8,5,2,0,11.6,1,0.2,3.8,13,5.4,3,2,0,14.8,2,0.2,2.2,46930,24477,71407
59,F1,17/09/17,Rennes,Nice,0,15.6,4.6,1,4,2,12.4,1.4,0.2,1.8,12.2,4.8,2,0,3,11.4,2,0,1.4,23111,22201,45312
60,F1,22/09/17,Lille,Monaco,0,12,3.5,1,4,3,11.83333333,2.333333333,0.333333333,0.666666667,15.66666667,5.333333333,5,0,1,13,1.666666667,0,2.833333333,33200,23813,57013
61,F1,22/09/17,Nice,Angers,1,11.16666667,4.5,3,3,3,12.33333333,2.5,0,1.333333333,12.66666667,4.666666667,1,4,1,14,2,1,1.166666667,22876,21306,44182
62,F1,23/09/17,Bordeaux,Guingamp,2,13,4.666666667,3,4,0,13.33333333,1.666666667,0,1.666666667,12.83333333,3.666666667,3,0,3,12.16666667,1.666666667,0,1.166666667,26048,22165,48213
63,F1,23/09/17,Caen,Amiens,2,10.83333333,2.666666667,3,3,3,12.83333333,1.5,0.166666667,0.833333333,10.16666667,2.166666667,2,0,4,11.83333333,2.333333333,0,0.666666667,17187,22086,39273
64,F1,23/09/17,Lyon,Dijon,1,12.83333333,5.333333333,3,4,1,14.5,2,0.166666667,1.833333333,12.16666667,3.5,1,1,4,13.5,1.833333333,0,1,46005,21658,67663
65,F1,23/09/17,Metz,Troyes,0,8,3,1,3,5,12.66666667,1.666666667,0.166666667,0.5,8.666666667,2.333333333,1,2,3,12.66666667,1.833333333,0.166666667,0.666666667,14844,21602,36446
66,F1,23/09/17,Montpellier,Paris SG,1,11.83333333,2.666666667,2,4,3,9.666666667,2.166666667,0.166666667,0.666666667,18.66666667,8.166666667,6,0,0,11.5,1.333333333,0.166666667,3.5,13458,29502,42960
67,F1,24/09/17,Marseille,Toulouse,2,14.16666667,5,3,4,2,14.33333333,3.166666667,0.166666667,1.5,9.166666667,3.333333333,2,1,3,19.33333333,3.5,0,1.333333333,47314,21412,68726
68,F1,24/09/17,St Etienne,Rennes,1,10.5,4,4,4,1,12,2.333333333,0.166666667,1.166666667,15.83333333,4.5,1,2,3,13.16666667,1.333333333,1,1.5,28142,21642,49784
69,F1,24/09/17,Strasbourg,Nantes,0,11.83333333,3,1,4,4,15,2,0.166666667,0.666666667,10,3.5,3,1,2,12.5,1.166666667,1,0.5,24064,22181,46245
70,F1,29/09/17,Monaco,Montpellier,1,15.14285714,5.571428571,6,4,1,13.14285714,1.714285714,0,3,10.85714286,2.571428571,2,2,3,10.42857143,2.142857143,0.142857143,0.571428571,9243,20958,30201
71,F1,30/09/17,Dijon,Strasbourg,1,12,3.857142857,1,4,4,14.28571429,2.285714286,0,1.285714286,13.14285714,3.428571429,1,1,5,13.85714286,1.857142857,0.142857143,0.714285714,12228,20496,32724
72,F1,30/09/17,Guingamp,Toulouse,1,12.42857143,3.714285714,3,4,4,12.42857143,1.714285714,0,1.142857143,9,3,2,1,4,18,3,0,1.142857143,14502,21412,35914
73,F1,30/09/17,Nantes,Metz,2,10.28571429,3.714285714,4,5,2,11.42857143,1.142857143,0.142857143,0.714285714,9,3.571428571,1,0,6,12.42857143,1.857142857,0.142857143,0.428571429,24559,22504,47063
74,F1,30/09/17,Paris SG,Bordeaux,2,17.42857143,7.142857143,6,3,0,11.71428571,1.428571429,0.142857143,3,14.14285714,5.142857143,4,3,0,13.42857143,2,0,1.857142857,46930,22009,68939
75,F1,30/09/17,Rennes,Caen,0,14.85714286,4.428571429,1,5,3,13.28571429,1.571428571,0.142857143,1.571428571,11.71428571,2.857142857,4,0,3,13,1.428571429,0.142857143,0.857142857,23111,20701,43812
76,F1,1/10/2017,Angers,Lyon,1,13,4.857142857,1,6,1,14.57142857,2,0.142857143,1.285714286,13.85714286,5.428571429,3,3,1,14.85714286,1.857142857,0.142857143,2,11065,24477,35542
77,F1,1/10/2017,Nice,Marseille,0,12,4.285714286,3,4,3,12.42857143,2.714285714,0,1.428571429,15.28571429,5.142857143,4,1,2,13.85714286,3,0.142857143,1.571428571,22876,26919,49795
78,F1,1/10/2017,Troyes,St Etienne,2,8.714285714,2.285714286,2,5,3,12.57142857,2,0.285714286,0.714285714,10.28571429,4,4,2,1,11.85714286,2.428571429,0.285714286,1.285714286,11723,22820,34543
79,F1,13/10/17,Lyon,Monaco,2,13.75,5.5,3,6,1,14.75,2,0.25,2.125,14.25,5,6,1,1,13.875,1.875,0,2.75,46005,23813,69818
80,F1,14/10/17,Caen,Angers,0,11.5,2.875,5,4,3,14.5,1.375,0.125,0.875,13.25,4.75,1,6,1,14.25,2,1,1.5,17187,21306,38493
81,F1,14/10/17,Dijon,Paris SG,0,12.125,4.125,1,5,4,13.75,2,0.125,1.25,16.625,7.375,7,1,0,11.5,1.375,0.125,3.375,12228,29502,41730
82,F1,14/10/17,Guingamp,Rennes,2,11.625,3.75,3,5,4,13,1.625,0,1.125,14.125,4.125,1,3,4,13.375,1.875,1,1.375,14502,21642,36144
83,F1,14/10/17,Lille,Troyes,1,11.85714286,3.285714286,1,4,4,12.71428571,2.142857143,0.285714286,0.571428571,9,2.875,3,2,3,11.875,2.125,1.25,0.875,33200,21602,54802
84,F1,14/10/17,St Etienne,Metz,2,10.75,4,4,6,2,12.5,2.25,0.375,1.25,9,3.25,1,0,7,12,2.125,1.125,0.375,28142,22504,50646
85,F1,14/10/17,Toulouse,Amiens,2,9.25,2.875,2,5,4,18,2.875,0,1.125,9,1.857142857,2,0,5,12.85714286,2.285714286,0,0.571428571,16929,22086,39015
86,F1,15/10/17,Bordeaux,Nantes,1,14.5,5.25,4,5,1,14,2,0,1.875,10.875,4,5,1,2,11.75,1.25,1,0.75,26048,22181,48229
87,F1,15/10/17,Montpellier,Nice,2,11.375,2.625,2,6,3,10.625,2,0.125,0.625,12.875,5,3,1,4,12.625,2.625,0,1.5,13458,22201,35659
88,F1,15/10/17,Strasbourg,Marseille,1,12.375,3.125,1,5,5,14.25,1.875,0.125,0.75,15.5,5.625,5,1,2,14.125,3,1.125,1.875,24064,26919,50983
89,F1,20/10/17,St Etienne,Montpellier,0,11.77777778,4.111111111,5,6,2,12.22222222,2.222222222,0.333333333,1.444444444,11.66666667,2.777777778,3,3,3,11,2.111111111,0.111111111,0.777777778,28142,20958,49100
