,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF
46,F1,14/09/2019,19:00,Montpellier,Nice,2.0,15.25,3.75,1,2,2,16.75,2.0,0.0,0.5,11.5,4.75,3,0,1,10.5,3.0,1.0,1.75,78,74,75,74,76,74
47,F1,15/09/2019,14:00,Nantes,Reims,2.0,16.25,5.5,2,3,1,15.0,1.75,0.0,1.0,10.25,3.25,2,1,1,14.75,1.5,0.0,1.0,75,73,74,71,73,73
48,F1,15/09/2019,16:00,St Etienne,Toulouse,1.0,13.0,4.0,1,4,2,11.25,1.25,0.0,0.75,11.75,3.5,2,1,1,13.25,0.75,0.0,1.0,73,76,74,72,74,71
49,F1,15/09/2019,20:00,Monaco,Marseille,0.0,12.75,4.75,0,3,2,12.0,2.25,0.75,1.0,10.0,2.75,2,1,1,16.25,2.5,0.0,0.75,80,78,76,80,78,77
50,F1,20/09/2019,19:45,Strasbourg,Nantes,2.0,11.2,2.8000000000000003,0,4,2,12.8,2.0,0.2,0.6000000000000001,14.6,5.2,3,1,1,15.6,1.6,0.0,1.0,75,74,74,75,73,74
51,F1,21/09/2019,16:30,Marseille,Montpellier,1.0,10.6,3.4000000000000004,3,3,1,15.8,2.6,0.0,1.4,15.6,4.6,2,1,2,16.8,2.0,0.0,0.8,80,78,77,78,74,75
52,F1,21/09/2019,19:00,Bordeaux,Brest,1.0,12.8,4.4,2,4,1,15.999999999999998,2.0,0.0,1.4,10.0,3.6,1,3,1,12.8,1.8000000000000005,0.0,0.6000000000000001,75,75,76,72,72,72
53,F1,21/09/2019,19:00,Metz,Amiens,0.0,10.2,4.0,1,3,3,12.4,1.4,0.0,0.8,8.0,1.7999999999999998,1,1,3,10.0,2.0,1.2,1.0,73,72,72,73,73,71
54,F1,21/09/2019,19:00,Nice,Dijon,2.0,11.8,4.8,3,3,2,10.6,2.8,0.2,1.6,12.8,3.4,0,1,4,13.0,1.0,0.0,0.2,74,76,74,72,72,70
55,F1,21/09/2019,19:00,Nimes,Toulouse,2.0,13.0,4.2,1,3,2,13.6,2.0,0.4,1.2000000000000002,11.4,4.199999999999998,2,2,1,13.2,0.6000000000000001,0.0,1.2000000000000002,72,70,72,72,74,71
56,F1,21/09/2019,19:00,Reims,Monaco,1.0,10.000000000000002,2.8000000000000003,2,4,2,14.8,1.8000000000000005,0.0,0.8,12.6,5.4,0,2,3,11.4,2.4000000000000004,1.4,1.4,71,73,73,80,78,76
57,F1,22/09/2019,14:00,Rennes,Lille,1.0,9.4,3.2,3,3,1,14.4,2.0,0.2,1.2,12.6,3.6000000000000005,3,0,2,9.4,1.2,2.0,1.4,76,77,76,77,77,76
58,F1,22/09/2019,16:00,Angers,St Etienne,2.0,11.8,3.8,3,2,2,13.4,1.4,0.0,1.8,13.2,4.0,1,2,2,12.0,1.6,0.0,1.0,74,75,74,73,76,74
59,F1,22/09/2019,20:00,Lyon,Paris SG,0.0,12.000000000000002,5.0,2,4,1,12.2,2.6,0.4,2.4,13.6,5.800000000000002,4,0,1,13.8,1.7999999999999998,0.0,2.2,79,78,77,88,84,83
60,F1,24/09/2019,18:00,Dijon,Marseille,1.0,12.833333333333332,4.0,0,4,5,13.0,1.3333333333333333,0.0,0.3333333333333333,12.833333333333336,3.6666666666666665,3,2,1,15.0,2.833333333333333,0.3333333333333333,1.3333333333333333,72,72,70,80,78,77
61,F1,24/09/2019,20:00,Monaco,Nice,2.0,12.5,5.166666666666667,0,4,3,11.166666666666664,2.333333333333333,0.5,1.1666666666666663,12.5,5.0,4,0,2,10.0,2.666666666666667,1.0,1.6666666666666663,80,78,76,74,76,74
62,F1,25/09/2019,18:00,Amiens,Bordeaux,0.0,8.166666666666666,2.333333333333333,2,4,3,10.333333333333332,1.8333333333333333,0.3333333333333333,1.1666666666666663,13.666666666666668,4.5,2,3,1,14.833333333333336,2.333333333333333,0.0,1.4999999999999998,73,73,71,75,75,76
63,F1,25/09/2019,18:00,Brest,Lyon,1.0,10.499999999999998,3.5,1,5,1,12.5,2.0,0.0,0.8333333333333333,12.0,4.166666666666666,2,2,2,11.5,2.333333333333333,1.1666666666666667,2.0,72,72,72,79,78,77
64,F1,25/09/2019,18:00,Lille,Strasbourg,2.0,13.0,4.0,3,3,2,9.666666666666666,1.1666666666666663,0.3333333333333333,1.3333333333333333,12.166666666666668,3.166666666666667,1,3,2,12.5,2.0,0.16666666666666666,0.8333333333333333,77,77,76,75,74,74
65,F1,25/09/2019,18:00,Montpellier,Nimes,2.0,13.500000000000002,4.166666666666666,2,3,2,16.833333333333336,2.1666666666666665,0.16666666666666666,0.8333333333333333,14.0,4.166666666666667,2,2,2,13.666666666666668,1.8333333333333333,0.3333333333333333,1.1666666666666667,78,74,75,72,70,72
66,F1,25/09/2019,18:00,Nantes,Rennes,2.0,13.833333333333336,4.833333333333334,3,4,2,15.666666666666664,1.6666666666666663,0.0,1.0,9.666666666666666,3.1666666666666665,3,2,1,14.333333333333332,2.0,1.0,1.1666666666666663,75,73,74,76,77,76
67,F1,25/09/2019,18:00,St Etienne,Metz,0.0,12.0,3.6666666666666665,1,6,3,12.0,1.5,0.0,1.0,10.666666666666666,4.000000000000001,1,1,4,12.499999999999998,1.3333333333333333,0.0,0.8333333333333333,73,76,74,73,72,72
68,F1,25/09/2019,18:00,Toulouse,Angers,0.0,10.999999999999998,3.8333333333333335,2,4,2,12.833333333333336,1.0,0.16666666666666666,1.0,12.166666666666668,4.0,4,0,2,13.333333333333332,1.3333333333333333,0.0,2.1666666666666665,72,74,71,74,75,74
69,F1,25/09/2019,20:00,Paris SG,Reims,0.0,14.833333333333332,6.0,5,3,1,12.5,1.6666666666666667,0.0,2.0,10.999999999999998,3.0,2,2,2,14.999999999999998,1.5,0.0,0.6666666666666666,88,84,83,71,73,73
70,F1,28/09/2019,12:30,Lyon,Nantes,0.0,11.857142857142856,4.285714285714286,2,5,2,11.285714285714285,2.0,0.2857142857142857,2.0,13.0,4.428571428571429,4,1,2,15.714285714285712,1.714285714285714,0.0,0.9999999999999998,79,78,77,75,73,74
71,F1,28/09/2019,16:30,Bordeaux,Paris SG,0.0,13.857142857142856,4.714285714285714,3,6,1,14.571428571428573,2.2857142857142856,0.0,1.7142857142857142,14.428571428571427,5.571428571428571,5,0,2,12.142857142857142,1.5714285714285712,0.0,1.714285714285714,75,75,76,88,84,83
72,F1,28/09/2019,19:00,Angers,Amiens,1.0,13.571428571428573,4.285714285714286,5,3,2,13.142857142857142,1.1428571428571428,0.0,2.142857142857143,8.571428571428571,2.4285714285714284,2,1,4,11.0,1.8571428571428568,1.1428571428571428,1.1428571428571428,74,75,74,73,73,71
73,F1,28/09/2019,19:00,Metz,Toulouse,1.0,10.857142857142858,3.5714285714285707,2,4,4,12.428571428571427,1.4285714285714284,0.0,0.857142857142857,10.285714285714286,3.4285714285714284,2,2,3,13.142857142857142,1.0,1.0,0.8571428571428571,73,72,72,72,74,71
