,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB,HomeTeamStreak_AtHome,HomeTeamStreak_AtAway,AwayTeamStreak_AtHome,AwayTeamStreak_AtAway,Home attendance,Away attendance
67,F1,25/09/16,Marseille,Nantes,2,11.0,4.0,1,5,3,16.5,2.0,0.16666666666666666,1.1666666666666663,13.0,4.166666666666666,1,2,3,14.0,1.6666666666666663,0.0,0.3333333333333333,80,78,77,74,73,73,100,40,1,-3,-2,-1,39898,19547
68,F1,25/09/16,Nancy,Nice,0,9.666666666666666,2.0,1,4,3,13.999999999999998,2.1666666666666665,0.0,0.5,11.666666666666664,5.500000000000001,4,2,0,11.5,1.3333333333333337,0.0,1.8333333333333333,69,72,68,74,75,74,30,42,-1,1,3,1,17516,22293
69,F1,25/09/16,St Etienne,Lille,2,11.333333333333336,3.0000000000000004,2,4,1,14.0,1.8333333333333333,0.16666666666666666,1.1666666666666663,11.0,3.0,1,1,4,12.666666666666664,2.0,0.0,1.0,75,75,76,75,75,75,70,75,2,-1,-2,-1,27227,18478
70,F1,30/09/16,Rennes,Guingamp,2,11.714285714285715,3.571428571428571,3,4,3,11.571428571428573,1.714285714285714,0.0,1.1428571428571428,9.285714285714286,4.142857142857143,3,2,2,12.285714285714285,1.5714285714285712,2.0,1.2857142857142856,77,73,74,75,74,74,50,26,3,-3,1,-2,22689,19416
71,F1,01/10/16,Caen,Toulouse,2,11.285714285714285,3.0,2,4,4,12.142857142857142,1.5714285714285712,0.0,0.857142857142857,9.285714285714286,3.1428571428571423,4,2,1,17.0,2.714285714285714,0.0,1.5714285714285712,73,73,73,75,74,73,29,35,-1,-2,2,1,15786,19819
72,F1,01/10/16,Dijon,Montpellier,1,9.571428571428571,3.7142857142857135,2,4,4,10.0,1.5714285714285712,0.14285714285714285,1.1428571428571428,11.714285714285715,3.1428571428571432,1,3,3,13.571428571428573,1.1428571428571428,1.0,0.857142857142857,72,72,70,76,74,73,26,42,2,-3,-1,-2,10128,18795
73,F1,01/10/16,Lille,Nancy,2,11.142857142857142,3.0,1,4,5,13.0,1.8571428571428568,0.14285714285714285,0.9999999999999998,10.428571428571429,1.714285714285714,1,2,4,14.428571428571427,2.2857142857142856,0.0,0.42857142857142855,75,75,75,69,72,68,75,30,-2,-2,-2,1,29487,18961
74,F1,01/10/16,Metz,Monaco,0,8.285714285714286,3.5714285714285707,4,4,2,14.428571428571427,2.4285714285714284,0.14285714285714285,1.2857142857142856,13.0,4.7142857142857135,5,1,1,13.285714285714285,1.714285714285714,1.0,2.142857142857143,75,71,72,80,80,79,30,145,-1,2,2,-1,16196,24370
75,F1,01/10/16,Nantes,Bastia,2,13.0,4.142857142857142,1,5,4,14.428571428571427,1.857142857142857,0.0,0.42857142857142855,9.428571428571429,3.7142857142857135,3,1,3,14.428571428571427,3.0,0.14285714285714285,0.857142857142857,74,73,73,73,72,72,40,28,-2,-2,2,-2,23152,20847
76,F1,01/10/16,Paris SG,Bordeaux,2,14.285714285714285,4.857142857142857,4,5,2,10.857142857142856,1.5714285714285712,0.14285714285714285,2.1428571428571423,11.428571428571427,4.857142857142857,4,1,2,9.428571428571429,1.0,1.1428571428571428,1.5714285714285714,85,83,82,77,76,74,500,60,1,-1,-1,2,45159,22352
77,F1,02/10/16,Angers,Marseille,1,14.0,5.1428571428571415,3,4,4,12.142857142857142,1.5714285714285712,0.14285714285714285,1.0,11.428571428571427,4.142857142857142,2,2,3,15.999999999999998,1.857142857142857,1.0,1.2857142857142856,72,74,73,80,78,77,25,100,1,-1,2,-3,11954,25215
78,F1,02/10/16,Lyon,St Etienne,2,16.285714285714292,6.285714285714287,3,4,3,12.0,1.714285714285714,0.14285714285714285,1.8571428571428568,11.000000000000002,3.0,3,3,1,14.428571428571427,2.0,1.0,1.4285714285714284,80,79,76,75,75,76,235,70,1,-1,3,-1,38203,23040
79,F1,02/10/16,Nice,Lorient,2,11.857142857142858,5.285714285714286,5,4,0,12.142857142857142,1.2857142857142856,0.0,1.7142857142857142,10.0,3.0,2,0,5,12.142857142857142,1.5714285714285712,1.2857142857142856,0.5714285714285714,74,75,74,74,72,72,42,36,3,2,2,-1,22949,19914
80,F1,14/10/16,Nice,Lyon,2,11.375,4.875,6,4,0,11.75,1.375,0.125,1.75,16.0,6.375,4,1,3,12.75,1.875,0.125,1.875,74,75,74,80,79,76,42,235,4,2,2,-1,22949,22257
81,F1,14/10/16,Toulouse,Monaco,2,9.25,2.875,4,5,2,17.0,3.125,0.0,1.375,13.125,5.25,6,1,1,13.125,1.625,1.0,2.75,75,74,73,80,80,79,35,145,1,-1,1,1,17068,24370
82,F1,15/10/16,Bastia,Angers,0,9.75,4.0,3,5,4,13.75,3.0,0.125,0.75,14.375,5.125,3,1,4,11.375,1.5,0.125,1.0,73,72,72,72,74,73,28,25,2,-3,1,-1,10511,20294
83,F1,15/10/16,Guingamp,Lille,2,8.875,3.75,3,6,3,12.25,1.5,0.375,1.125,11.5,3.125,2,1,5,13.125,1.875,1.0,1.0,75,74,74,75,75,75,26,75,1,-3,1,-1,14790,18478
84,F1,15/10/16,Lorient,Nantes,0,10.875,3.125,2,4,6,12.375,1.75,0.375,0.625,13.875,4.625,2,2,4,15.0,2.125,0.0,0.5,74,72,72,74,73,73,36,40,2,-2,1,-1,11832,19547
85,F1,15/10/16,Montpellier,Caen,2,12.125,3.5,1,6,3,13.375,1.25,0.125,1.125,11.375,3.0,3,1,4,12.0,1.5,0.0,0.875,76,74,73,73,73,73,42,29,-1,-2,1,-1,12356,19992
86,F1,15/10/16,Nancy,Paris SG,0,9.75,1.875,1,5,5,14.125,2.375,0.0,0.375,14.25,5.125,5,1,2,10.5,1.5,1.0,2.125,69,72,68,85,83,82,30,500,-1,-1,2,-1,17516,26366
87,F1,16/10/16,Marseille,Metz,2,11.125,3.875,2,6,3,15.5,1.625,0.125,1.25,9.0,3.375,4,1,3,14.375,2.375,1.125,1.125,80,78,77,75,71,72,100,30,2,-3,-2,2,39898,19465
88,F1,16/10/16,Rennes,Bordeaux,1,11.875,3.5,4,4,3,11.375,1.75,0.0,1.125,10.75,4.5,4,1,3,9.375,1.0,1.125,1.375,77,73,74,77,76,74,50,60,4,-3,0,-1,22689,22352
89,F1,16/10/16,St Etienne,Dijon,1,11.0,3.0,3,5,2,14.5,1.875,0.125,1.25,9.375,4.0,2,2,4,10.25,1.625,1.0,1.375,75,75,76,72,72,70,70,26,3,-2,2,-3,27227,19831
90,F1,21/10/16,Monaco,Montpellier,2,12.111111111111116,4.777777777777779,6,6,2,13.555555555555555,1.5555555555555558,0.1111111111111111,2.555555555555556,12.0,3.888888888888889,2,4,3,13.333333333333336,1.1111111111111112,1.1111111111111112,1.3333333333333333,80,80,79,76,74,73,145,42,0,-1,1,0,9420,18795
91,F1,22/10/16,Angers,Toulouse,1,13.555555555555555,4.8888888888888875,4,6,4,11.333333333333332,1.3333333333333337,0.1111111111111111,1.1111111111111112,10.111111111111107,3.2222222222222223,5,2,2,16.666666666666668,3.0,0.0,1.5555555555555556,72,74,73,75,74,73,25,35,0,1,2,-1,11954,19819
92,F1,22/10/16,Bordeaux,Nancy,1,10.333333333333334,4.111111111111111,4,6,3,9.555555555555557,1.1111111111111112,0.2222222222222222,1.3333333333333333,9.333333333333332,2.0,1,2,6,14.333333333333332,2.2222222222222223,0.0,0.4444444444444444,77,76,74,69,72,68,60,30,0,-1,-2,-1,24217,18961
