,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
46,F1,13/09/08,Valenciennes,Grenoble,1.0,13.75,4.25,2,0,2,19.0,2.25,0.25,1.25,8.25,2.75,3,0,1,14.5,1.5,0.0,1.0,2008-09-13,HautDeTableau,MilieuDeTableau
47,F1,14/09/08,Caen,St Etienne,2.0,14.5,2.5,1,1,2,20.0,2.75,0.0,1.25,16.25,4.5,1,0,3,16.0,1.75,0.0,0.5,2008-09-14,MilieuDeTableau,BasDeTableau
48,F1,14/09/08,Paris SG,Nantes,2.0,10.25,3.75,2,1,1,17.0,3.0,0.0,0.75,12.25,3.75,0,1,3,17.0,2.0,0.0,0.75,2008-09-14,MilieuDeTableau,BasDeTableau
49,F1,14/09/08,Sochaux,Lille,1.0,16.0,5.25,0,1,3,16.0,2.25,0.0,1.0,12.5,4.25,1,1,2,17.25,2.5,1.0,1.0,2008-09-14,MilieuDeTableau,MilieuDeTableau
50,F1,20/09/08,Grenoble,Bordeaux,0.0,8.4,2.8000000000000003,3,1,1,13.8,1.6,0.2,1.0,17.400000000000002,7.2,2,1,2,14.6,2.0,0.0,1.2,2008-09-20,HautDeTableau,MilieuDeTableau
51,F1,20/09/08,Le Havre,Lyon,0.0,11.4,3.0000000000000004,1,1,3,16.8,0.8,0.0,0.8,16.4,6.800000000000002,4,1,0,15.8,2.0000000000000004,0.0,1.7999999999999998,2008-09-20,BasDeTableau,HautDeTableau
52,F1,20/09/08,Lille,Auxerre,2.0,13.2,4.6000000000000005,1,2,2,17.8,2.6,0.2,1.0,10.4,3.8,2,1,2,15.400000000000002,1.6,0.0,1.0,2008-09-20,BasDeTableau,MilieuDeTableau
53,F1,20/09/08,Lorient,Caen,1.0,11.6,2.6,1,1,3,14.4,1.6,0.0,0.4,14.4,3.4,2,1,2,19.0,2.2,0.0,1.4,2008-09-20,BasDeTableau,MilieuDeTableau
54,F1,20/09/08,Nantes,Valenciennes,2.0,12.4,3.4,0,1,4,17.4,1.8,0.0,0.6000000000000001,12.6,4.2,2,1,2,19.8,2.0,1.0,1.2,2008-09-20,BasDeTableau,MilieuDeTableau
55,F1,20/09/08,Nice,Le Mans,1.0,9.8,3.6,3,0,2,21.2,2.2,0.2,1.4,8.8,3.2000000000000006,3,0,2,19.2,1.7999999999999998,0.0,1.8,2008-09-20,MilieuDeTableau,HautDeTableau
56,F1,20/09/08,Toulouse,Sochaux,2.0,8.600000000000001,3.2,2,2,1,17.200000000000006,2.0,0.0,0.8,15.8,5.4,0,2,3,16.4,2.2,0.0,1.0,2008-09-20,MilieuDeTableau,BasDeTableau
57,F1,21/09/08,Marseille,Monaco,1.0,16.000000000000004,5.2,3,2,0,16.4,1.4,0.2,2.4000000000000004,9.4,3.0,2,2,1,18.2,1.6,0.0,1.0,2008-09-21,HautDeTableau,MilieuDeTableau
58,F1,21/09/08,Nancy,Rennes,1.0,11.6,2.6000000000000005,1,3,1,16.400000000000002,1.4,0.2,0.8,15.6,6.199999999999998,1,3,1,18.6,2.6,0.0,1.4,2008-09-21,BasDeTableau,MilieuDeTableau
59,F1,21/09/08,St Etienne,Paris SG,2.0,16.6,4.6,1,0,4,16.8,1.7999999999999998,0.0,0.4,10.0,3.4,3,1,1,17.2,2.4000000000000004,0.0,0.8,2008-09-21,BasDeTableau,MilieuDeTableau
