,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG
50,F1,02/10/2020,20:00,Paris SG,Angers,2,15.399999999999999,5.199999999999999,0.6,0.6,0.4,10.8,3.0,0.8,1.2000000000000002,14.000000000000002,4.2,0.6,0.0,0.4,10.8,2.2,0.2,1.2000000000000002
51,F1,03/10/2020,16:00,Lens,St Etienne,2,14.0,4.8,0.6,0.6,0.2,17.2,3.2,0.2,1.5999999999999999,9.399999999999999,4.3999999999999995,0.6,0.2,0.2,14.0,1.5999999999999999,0.0,1.6
52,F1,03/10/2020,20:00,Nice,Nantes,2,8.6,2.4,0.4,0.6,0.4,13.600000000000001,2.4000000000000004,0.0,1.0,9.6,3.4000000000000004,0.2,0.4,0.4,13.200000000000001,2.1999999999999997,0.4,1.0
53,F1,04/10/2020,12:00,Montpellier,Nimes,0,13.8,6.6000000000000005,0.6,0.4,0.2,14.2,2.0,0.4,2.4,13.799999999999999,5.999999999999999,0.2,0.4,0.4,12.4,1.6,0.0,1.5999999999999999
54,F1,04/10/2020,14:00,Bordeaux,Dijon,2,8.4,3.1999999999999997,0.2,1.0,0.2,13.0,2.6,0.4,0.6000000000000001,8.600000000000001,2.8,0.0,0.2,0.8,13.8,2.0,0.2,0.6000000000000001
55,F1,04/10/2020,14:00,Brest,Monaco,2,15.2,4.8,0.4,0.6,0.6,18.2,1.7999999999999998,0.2,1.7999999999999998,13.599999999999998,3.8,0.6,0.2,0.2,12.799999999999997,2.8,1.4,1.7999999999999998
56,F1,04/10/2020,14:00,Metz,Lorient,2,10.799999999999999,2.6,0.2,0.6,0.6,11.8,1.8000000000000003,0.0,0.6000000000000001,7.0,3.4,0.2,0.2,0.6,18.4,2.2,0.0,1.5999999999999999
57,F1,04/10/2020,14:00,Strasbourg,Lille,0,11.0,3.8,0.2,0.6,0.8,13.0,1.7999999999999998,0.0,0.8,11.4,4.2,0.6,0.4,0.0,13.8,1.6,0.2,1.2000000000000002
58,F1,04/10/2020,16:00,Rennes,Reims,1,13.2,5.0,0.8,0.6,0.0,14.000000000000002,2.4000000000000004,0.4,2.4000000000000004,7.6,2.4,0.0,0.2,0.8,12.8,2.9999999999999996,2.0,0.6000000000000001
59,F1,04/10/2020,20:00,Lyon,Marseille,1,20.2,6.2,0.2,0.8,0.2,13.799999999999999,2.2,0.2,1.2,10.6,2.6,0.4,0.4,0.2,14.4,3.4000000000000004,2.0,1.2
60,F1,16/10/2020,18:00,Dijon,Rennes,1,8.0,2.4999999999999996,0.0,0.6666666666666666,0.8333333333333334,13.833333333333334,2.1666666666666665,0.16666666666666666,0.5,14.0,4.666666666666667,0.6666666666666666,0.3333333333333333,0.0,13.666666666666666,2.6666666666666665,1.1666666666666667,2.333333333333333
61,F1,16/10/2020,20:00,Nimes,Paris SG,0,12.833333333333334,5.166666666666668,0.3333333333333333,0.6666666666666666,0.3333333333333333,12.833333333333334,1.5,0.0,1.5,15.833333333333334,6.333333333333333,0.6666666666666666,0.0,0.3333333333333333,10.833333333333334,2.6666666666666665,0.6666666666666666,2.0
62,F1,17/10/2020,16:00,Reims,Lorient,0,7.833333333333333,2.6666666666666665,0.0,0.6666666666666666,0.6666666666666666,13.333333333333334,3.0,0.3333333333333333,0.8333333333333333,7.500000000000001,3.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,17.666666666666664,2.1666666666666665,0.0,1.5
63,F1,17/10/2020,20:00,Marseille,Bordeaux,2,9.499999999999998,2.333333333333333,0.3333333333333333,0.8333333333333334,0.16666666666666666,13.666666666666666,3.0,0.5,1.1666666666666665,9.833333333333334,3.833333333333334,0.3333333333333333,0.5,0.16666666666666666,13.333333333333332,2.5,1.1666666666666667,1.0
64,F1,18/10/2020,12:00,Strasbourg,Lyon,0,11.500000000000002,3.666666666666667,0.16666666666666666,0.5,0.8333333333333334,12.666666666666666,1.6666666666666667,0.0,0.6666666666666666,20.833333333333332,5.666666666666667,0.16666666666666666,0.6666666666666666,0.16666666666666666,13.833333333333332,2.0,1.0,1.1666666666666665
65,F1,18/10/2020,14:00,Angers,Metz,1,13.000000000000002,3.833333333333334,0.5,0.5,0.5,10.5,2.1666666666666665,0.16666666666666666,1.1666666666666667,11.666666666666668,3.5,0.3333333333333333,0.16666666666666666,0.5,11.5,1.6666666666666667,0.0,1.0
66,F1,18/10/2020,14:00,Monaco,Montpellier,1,14.833333333333334,3.5000000000000004,0.5,0.6666666666666666,0.3333333333333333,13.500000000000002,2.9999999999999996,0.5,1.5,13.500000000000002,5.833333333333332,0.5,0.16666666666666666,0.3333333333333333,14.166666666666668,2.0,1.1666666666666667,1.9999999999999998
67,F1,18/10/2020,14:00,Nantes,Brest,2,9.833333333333334,2.9999999999999996,0.16666666666666666,0.8333333333333334,0.5,12.333333333333334,2.0,0.5,0.9999999999999999,13.833333333333334,4.833333333333333,0.5,0.0,0.5,16.833333333333336,1.9999999999999998,1.0,1.6666666666666665
68,F1,18/10/2020,16:00,St Etienne,Nice,0,8.166666666666666,3.833333333333333,0.5,0.5,0.3333333333333333,13.333333333333334,1.5,0.3333333333333333,1.3333333333333333,10.166666666666666,3.1666666666666665,0.5,0.16666666666666666,0.3333333333333333,13.5,2.3333333333333335,0.0,1.1666666666666665
69,F1,18/10/2020,20:00,Lille,Lens,2,11.5,4.5,0.6666666666666666,0.6666666666666666,0.0,13.166666666666664,1.5,0.16666666666666666,1.5,13.833333333333332,4.833333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,18.166666666666664,2.833333333333333,1.0,1.6666666666666665
70,F1,23/10/2020,20:00,Rennes,Angers,0,13.714285714285714,4.428571428571428,0.5714285714285714,0.7142857142857143,0.0,13.571428571428571,2.571428571428571,0.2857142857142857,2.142857142857143,12.14285714285714,3.571428571428571,0.42857142857142855,0.14285714285714285,0.42857142857142855,11.571428571428571,2.428571428571429,0.14285714285714285,1.1428571428571428
71,F1,24/10/2020,16:00,Lorient,Marseille,0,8.428571428571429,3.571428571428571,0.2857142857142857,0.7142857142857143,0.5714285714285714,16.714285714285715,1.9999999999999996,0.0,1.7142857142857142,9.0,2.571428571428571,0.42857142857142855,0.42857142857142855,0.14285714285714285,13.571428571428571,2.9999999999999996,3.0,1.4285714285714284
72,F1,24/10/2020,20:00,Paris SG,Dijon,2,17.857142857142858,6.999999999999999,0.7142857142857143,0.5714285714285714,0.2857142857142857,11.0,2.571428571428571,0.5714285714285714,2.2857142857142856,8.571428571428571,2.7142857142857144,0.0,0.2857142857142857,0.7142857142857143,15.0,2.4285714285714284,0.14285714285714285,0.5714285714285714
73,F1,25/10/2020,14:00,Bordeaux,Nimes,2,9.571428571428571,3.8571428571428568,0.2857142857142857,0.8571428571428571,0.2857142857142857,13.285714285714286,2.2857142857142856,0.2857142857142857,1.0,11.714285714285714,4.714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,12.428571428571427,1.4285714285714284,0.14285714285714285,1.2857142857142856
74,F1,25/10/2020,14:00,Brest,Strasbourg,0,13.857142857142858,4.857142857142858,0.42857142857142855,0.5714285714285714,0.5714285714285714,16.571428571428573,2.0,0.14285714285714285,1.5714285714285712,12.714285714285715,4.428571428571429,0.14285714285714285,0.0,0.8571428571428571,12.714285714285715,1.714285714285714,0.0,0.8571428571428571
75,F1,25/10/2020,14:00,Metz,St Etienne,2,11.0,3.4285714285714284,0.2857142857142857,0.5714285714285714,0.42857142857142855,11.714285714285715,1.714285714285714,0.0,1.0,8.571428571428571,3.8571428571428568,0.42857142857142855,0.14285714285714285,0.42857142857142855,13.571428571428571,1.5714285714285712,2.0,1.2857142857142856
76,F1,25/10/2020,14:00,Montpellier,Reims,0,12.0,5.285714285714286,0.42857142857142855,0.42857142857142855,0.2857142857142857,14.0,1.8571428571428568,0.42857142857142855,1.8571428571428568,7.571428571428571,2.714285714285714,0.0,0.2857142857142857,0.7142857142857143,13.42857142857143,3.1428571428571423,2.2857142857142856,0.857142857142857
77,F1,25/10/2020,16:00,Nice,Lille,1,10.285714285714285,3.4285714285714284,0.5714285714285714,0.5714285714285714,0.2857142857142857,13.0,2.714285714285714,0.0,1.4285714285714284,12.285714285714285,4.714285714285714,0.7142857142857143,0.2857142857142857,0.0,13.142857142857144,1.2857142857142856,0.14285714285714285,1.857142857142857
78,F1,25/10/2020,20:00,Lyon,Monaco,2,19.857142857142858,6.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,13.0,2.142857142857143,0.14285714285714285,1.4285714285714284,15.714285714285714,4.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,13.428571428571429,2.8571428571428568,1.2857142857142856,1.4285714285714284
79,F1,31/10/2020,16:00,Rennes,Brest,2,13.375,4.0,0.5,0.625,0.125,13.25,2.5,0.25,2.0,13.875,4.75,0.375,0.0,0.625,15.5,1.875,1.0,1.375
80,F1,31/10/2020,20:00,Nantes,Paris SG,0,10.142857142857142,3.714285714285714,0.2857142857142857,0.7142857142857143,0.42857142857142855,12.714285714285714,2.1428571428571423,0.42857142857142855,1.2857142857142856,18.125,7.25,0.75,0.0,0.25,11.125,2.25,0.5,2.5
81,F1,01/11/2020,12:00,St Etienne,Montpellier,0,8.75,3.375,0.375,0.5,0.5,14.125,1.75,0.25,1.125,11.125,4.75,0.375,0.25,0.375,13.125,1.75,2.375,1.625
82,F1,01/11/2020,14:00,Angers,Nice,0,11.875,3.625,0.5,0.625,0.375,10.75,2.125,0.125,1.25,10.0,3.375,0.5,0.25,0.25,13.0,2.5,0.0,1.375
83,F1,01/11/2020,14:00,Dijon,Lorient,1,9.5,2.75,0.0,0.75,0.75,15.375,2.375,0.125,0.5,9.0,3.5,0.25,0.125,0.625,15.875,2.125,0.0,1.5
84,F1,01/11/2020,14:00,Nimes,Metz,0,11.25,4.625,0.25,0.625,0.5,12.875,1.625,0.125,1.125,10.375,3.375,0.375,0.25,0.375,11.625,1.875,0.0,1.125
85,F1,01/11/2020,14:00,Reims,Strasbourg,2,9.625,3.5,0.125,0.625,0.625,13.125,2.75,0.5,1.25,12.0,4.5,0.25,0.0,0.75,12.5,1.875,0.0,1.125
86,F1,01/11/2020,16:00,Monaco,Bordeaux,2,16.0,4.125,0.375,0.75,0.375,13.625,3.0,0.375,1.375,10.875,4.125,0.375,0.375,0.25,12.75,2.375,1.125,1.125
87,F1,01/11/2020,20:00,Lille,Lyon,1,12.25,4.625,0.625,0.625,0.0,13.75,1.875,0.125,1.75,19.25,6.0,0.375,0.5,0.125,12.875,2.25,1.125,1.75
