,Div,Date,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,DateTime,HRP,ARP
32,F1,31/08/13,Lorient,Valenciennes,2.0,10.333333333333334,5.333333333333333,1,0,2,14.333333333333332,1.3333333333333333,0.3333333333333333,0.6666666666666666,11.0,4.0,1,0,2,19.666666666666664,1.6666666666666663,0.0,1.0,2013-08-31,BasDeTableau,MilieuDeTableau
33,F1,31/08/13,Paris SG,Guingamp,2.0,20.666666666666668,8.333333333333332,1,2,0,16.333333333333336,1.6666666666666663,0.0,1.3333333333333333,9.333333333333334,3.333333333333333,1,0,2,14.666666666666668,2.333333333333333,0.0,1.0,2013-08-31,MilieuDeTableau,MilieuDeTableau
34,F1,31/08/13,Reims,Nantes,1.0,10.333333333333334,3.333333333333333,2,0,1,13.333333333333332,1.6666666666666663,0.0,1.3333333333333333,9.333333333333332,3.0,1,0,2,14.333333333333336,1.0,0.3333333333333333,1.3333333333333333,2013-08-31,MilieuDeTableau,MilieuDeTableau
35,F1,31/08/13,Rennes,Lille,1.0,9.333333333333332,4.333333333333333,2,0,1,13.333333333333332,1.6666666666666663,0.3333333333333333,1.6666666666666663,11.0,3.666666666666667,2,0,1,14.333333333333336,1.0,0.0,1.0,2013-08-31,HautDeTableau,MilieuDeTableau
36,F1,31/08/13,Sochaux,Ajaccio,1.0,9.666666666666666,4.999999999999999,0,1,2,16.333333333333336,2.6666666666666665,0.3333333333333333,1.0,4.333333333333334,1.3333333333333333,0,2,1,15.666666666666668,1.0,0.3333333333333333,0.3333333333333333,2013-08-31,MilieuDeTableau,BasDeTableau
37,F1,01/09/13,Marseille,Monaco,0.0,14.0,5.333333333333334,3,0,0,15.0,3.333333333333333,0.0,2.0,15.666666666666664,6.000000000000001,2,1,0,16.333333333333332,1.0,0.0,2.0,2013-09-01,HautDeTableau,HautDeTableau
38,F1,01/09/13,Nice,Montpellier,1.0,12.0,4.0,1,1,1,11.333333333333332,0.0,0.0,0.6666666666666666,7.666666666666668,2.6666666666666665,1,1,1,20.33333333333333,2.333333333333333,1.3333333333333333,1.3333333333333333,2013-09-01,MilieuDeTableau,MilieuDeTableau
39,F1,01/09/13,St Etienne,Bordeaux,2.0,7.666666666666666,1.6666666666666663,2,0,1,17.666666666666668,2.0,0.0,0.6666666666666666,10.333333333333332,3.666666666666667,1,1,1,15.333333333333332,1.3333333333333333,1.0,0.6666666666666666,2013-09-01,MilieuDeTableau,MilieuDeTableau
40,F1,13/09/13,Bordeaux,Paris SG,0.0,11.0,4.0,1,1,2,14.0,1.25,0.25,0.75,21.75,8.0,2,2,0,15.5,1.5,0.0,1.5,2013-09-13,BasDeTableau,HautDeTableau
41,F1,14/09/13,Ajaccio,Evian Thonon Gaillard,0.0,5.5,1.5,0,3,1,14.5,1.0,0.25,0.25,15.75,5.5,1,1,2,11.25,1.25,0.0,1.0,2013-09-14,BasDeTableau,MilieuDeTableau
42,F1,14/09/13,Guingamp,Bastia,1.0,8.75,2.75,1,0,3,14.75,2.25,0.0,0.75,7.25,2.0,2,0,2,14.75,2.25,1.25,1.0,2013-09-14,BasDeTableau,MilieuDeTableau
43,F1,14/09/13,Montpellier,Reims,1.0,7.0,2.75,1,2,1,20.0,2.75,0.75,1.5,9.5,3.0,2,1,1,12.75,1.5,0.0,1.0,2013-09-14,HautDeTableau,MilieuDeTableau
44,F1,14/09/13,Nantes,Sochaux,2.0,9.25,2.75,1,1,2,11.5,0.75,0.25,1.0,11.5,5.0,0,2,2,14.25,2.25,1.0,0.75,2013-09-14,MilieuDeTableau,BasDeTableau
